0,1
Espresso,2.0
Red Eye,2.0
Black Eye,2.0
Americano,2.0
Long Black,2.0
Macchiato,2.0
Long Macchiato,2.0
Cortado,2.0
Breve,2.0
Cappuccino,2.0
Flat White,2.0
Cafe Latte,2.0
Iced Mocha,2.0
Vienna,2.0
Affogato,2.0
Iced Coffee,2.0
Hot Velvet Coffee,2.0
Lemon Green Coffee,2.0
Filter Coffee,2.0
Vanilla Latte,2.0
Vanilla Cappuccino,2.0
Turmeric Ginger Cappuccino,2.0
Gourmet Belgian Hot Chocolate,2.0
Iced Cappuccino,2.0
Iced Latte,2.0
Mango Frappe,2.0
Crunchy Frappe,2.0
Dark Frappe,2.0
Gourmet Belgian Cold Chocolate,2.0
Hazelnut Brownie Cake Shake,2.0
Red Velvet Cake Shake,2.0
Lemon Cake Shake,2.0
Cheesecake Shake,2.0
Chocolate Fantasy Cake Shake,2.0
Tropical Iceberg,2.0
Vegan Shake,2.0
Watermelon Mojito,2.0
Peach Iced Tea,2.0
Classic Lemonade,2.0
Watermelon Granita,2.0
Iced Tea Latte,2.0
Elaichi Tea,2.0
Ginger Tea,2.0
Masala Tea,2.0
Hot Tea Latte,2.0
Green Tea,2.0
Herbal Tea,2.0
Earl Grey Orange Tea,2.0
Croissant,2.0
Muffin,2.0
Bagel,2.0
Danish,2.0
Scone,2.0
Brioche,2.0
Baguette,2.0
Cocoa Fantasy Pastry,2.0
Pineapple Delight Pastry,2.0
Crackling Brownie Pastry,2.0
Flavoured Ice Cream,2.0
Donut,2.0
Cookie,2.0
Brownie,2.0
Macaron,2.0
Granola Bar,2.0
Cutlet,2.0
Popcorn,2.0
Sandwich,2.0
Panini,2.0
Pasta,2.0
Pizza,2.0
Salad,2.0
Soup,2.0
Quiche,2.0
Burrito,2.0
Tacos,2.0
Cake,2.0
Pudding,2.0
Eclair,2.0
Cupcake,2.0
Mousse,2.0
